Date,Tweet Count
01/11/2013,0
02/11/2013,0
03/11/2013,1
04/11/2013,3
05/11/2013,9
06/11/2013,0
07/11/2013,1
08/11/2013,0
09/11/2013,0
10/11/2013,0
11/11/2013,0
12/11/2013,1
13/11/2013,0
14/11/2013,14
15/11/2013,0
16/11/2013,1
17/11/2013,0
18/11/2013,2
19/11/2013,5
20/11/2013,0
21/11/2013,1
22/11/2013,0
23/11/2013,0
24/11/2013,0
25/11/2013,0
26/11/2013,0
27/11/2013,0
28/11/2013,0
29/11/2013,0
30/11/2013,0
01/12/2013,0
02/12/2013,0
03/12/2013,0
04/12/2013,0
05/12/2013,2
06/12/2013,1
07/12/2013,0
08/12/2013,0
09/12/2013,0
10/12/2013,1
11/12/2013,0
12/12/2013,1
13/12/2013,1
14/12/2013,1
15/12/2013,1
16/12/2013,4
17/12/2013,0
18/12/2013,0
19/12/2013,0
20/12/2013,0
21/12/2013,2
22/12/2013,0
23/12/2013,0
24/12/2013,0
25/12/2013,0
26/12/2013,0
27/12/2013,8
28/12/2013,34
29/12/2013,2
30/12/2013,0
31/12/2013,4
,
