Name,Coords
Alcatraz,"45.49456106655474, 9.18278278958174"
La Salumeria Della Musica,"45.43701809100409, 9.19960190117975"
Magazzini Generali,"45.44425797309525, 9.195235769942915"
The Factory,"45.457722176703996, 9.160241086708886"
Mediolanum Forum,"45.401619491241284, 9.142122814478467"
Circolo Magnolia,"45.46360698393193, 9.286070881590826"
Centro Sociale Cantiere,"45.47838631898716, 9.14545653046924"
Teatro Degli Arcimboldi,"45.514653558979255, 9.213478707540283"
Tunnel Club,"45.492230425142345, 9.20898122661746"
Teatro Nuovo,"45.46657262935584, 9.197212674971544"
Limelight,"45.4487260908014, 9.186614984196657"
